,Gia du doan,Gia thuc,% sai lech
4004,86514.50613340153,81250.0,6.479392164186502
3802,72067.72544317778,77083.0,6.506330263251581
4456,72442.37128663107,77500.0,6.525972533379268
9853,221945.8563022691,208333.0,6.534181479779533
999,112886.31377199835,120833.0,6.576586055135311
6791,155442.68447436742,145833.0,6.589512987024484
7832,124376.28489420279,116667.0,6.6079396009178195
2684,58168.20025873164,62292.0,6.620111316490659
6949,85534.1257049554,91667.0,6.6903839931977735
10377,190506.2772763818,204167.0,6.690955307967599
12831,143798.2265709542,154167.0,6.725676330891697
12058,102319.47636018625,95833.0,6.768520614179094
12029,100095.82505026912,93750.0,6.768880053620398
3459,163136.1146671531,175000.0,6.779363047341085
12706,138108.58175589447,129167.0,6.922497043280767
6980,155947.6937644112,145833.0,6.935805863152512
7312,50378.7798784013,54167.0,6.993594110064616
11314,31759.794721129,34167.0,7.045410129279711
8801,135530.0119716829,145833.0,7.06492222495396
4391,82535.33610956233,77083.0,7.073331486271066
5742,78076.90992626511,72917.0,7.076415549549645
2454,99731.41995729196,107333.0,7.082239425626824
908,65803.29243578776,70833.0,7.100797035579795
10215,165139.90004487912,154167.0,7.117541396588842
6748,232091.53433215525,216667.0,7.119004893294894
984,76775.26187969117,71667.0,7.127774121549904
7177,76775.26187969117,71667.0,7.127774121549904
1415,76775.26187969117,71667.0,7.127774121549904
4933,76775.26187969117,71667.0,7.127774121549904
11012,76775.26187969117,71667.0,7.127774121549904
6223,76775.26187969117,71667.0,7.127774121549904
3307,76775.26187969117,71667.0,7.127774121549904
2286,76775.26187969117,71667.0,7.127774121549904
2414,76775.26187969117,71667.0,7.127774121549904
12341,76775.26187969117,71667.0,7.127774121549904
7204,76775.26187969117,71667.0,7.127774121549904
1925,76775.26187969117,71667.0,7.127774121549904
1597,76775.26187969117,71667.0,7.127774121549904
8351,76775.26187969117,71667.0,7.127774121549904
2191,76775.26187969117,71667.0,7.127774121549904
9943,76775.26187969117,71667.0,7.127774121549904
11695,76775.26187969117,71667.0,7.127774121549904
8339,76775.26187969117,71667.0,7.127774121549904
11981,76775.26187969117,71667.0,7.127774121549904
1553,76775.26187969117,71667.0,7.127774121549904
1514,76775.26187969117,71667.0,7.127774121549904
9272,76775.26187969117,71667.0,7.127774121549904
6468,76775.26187969117,71667.0,7.127774121549904
11796,76775.26187969117,71667.0,7.127774121549904
9707,76775.26187969117,71667.0,7.127774121549904
